                     bin:                     prob.:
    4.141813454036452e-01      1.937046004842583e+01
    4.150563454036452e-01      0.000000000000000e+00
    4.159313454036451e-01      0.000000000000000e+00
    4.168063454036451e-01      0.000000000000000e+00
    4.176813454036452e-01      0.000000000000000e+00
    4.185563454036452e-01      0.000000000000000e+00
    4.194313454036451e-01      0.000000000000000e+00
    4.203063454036451e-01      0.000000000000000e+00
    4.211813454036452e-01      0.000000000000000e+00
    4.220563454036452e-01      0.000000000000000e+00
    4.229313454036451e-01      0.000000000000000e+00
    4.238063454036451e-01      0.000000000000000e+00
    4.246813454036452e-01      0.000000000000000e+00
    4.255563454036452e-01      0.000000000000000e+00
    4.264313454036451e-01      0.000000000000000e+00
    4.273063454036451e-01      0.000000000000000e+00
    4.281813454036452e-01      0.000000000000000e+00
    4.290563454036452e-01      0.000000000000000e+00
    4.299313454036451e-01      0.000000000000000e+00
    4.308063454036452e-01      0.000000000000000e+00
    4.316813454036452e-01      0.000000000000000e+00
    4.325563454036452e-01      0.000000000000000e+00
    4.334313454036451e-01      0.000000000000000e+00
    4.343063454036452e-01      0.000000000000000e+00
    4.351813454036452e-01      0.000000000000000e+00
    4.360563454036451e-01      0.000000000000000e+00
    4.369313454036451e-01      0.000000000000000e+00
    4.378063454036452e-01      0.000000000000000e+00
    4.386813454036452e-01      0.000000000000000e+00
    4.395563454036451e-01      0.000000000000000e+00
    4.404313454036451e-01      0.000000000000000e+00
    4.413063454036452e-01      0.000000000000000e+00
    4.421813454036452e-01      0.000000000000000e+00
    4.430563454036451e-01      0.000000000000000e+00
    4.439313454036452e-01      0.000000000000000e+00
    4.448063454036452e-01      0.000000000000000e+00
    4.456813454036452e-01      0.000000000000000e+00
    4.465563454036451e-01      0.000000000000000e+00
    4.474313454036452e-01      0.000000000000000e+00
    4.483063454036452e-01      0.000000000000000e+00
    4.491813454036452e-01      0.000000000000000e+00
    4.500563454036451e-01      0.000000000000000e+00
    4.509313454036452e-01      0.000000000000000e+00
    4.518063454036452e-01      0.000000000000000e+00
    4.526813454036452e-01      0.000000000000000e+00
    4.535563454036451e-01      0.000000000000000e+00
    4.544313454036452e-01      0.000000000000000e+00
    4.553063454036452e-01      0.000000000000000e+00
    4.561813454036452e-01      0.000000000000000e+00
    4.570563454036451e-01      0.000000000000000e+00
    4.579313454036452e-01      0.000000000000000e+00
    4.588063454036452e-01      0.000000000000000e+00
    4.596813454036451e-01      0.000000000000000e+00
    4.605563454036452e-01      0.000000000000000e+00
    4.614313454036452e-01      0.000000000000000e+00
    4.623063454036452e-01      0.000000000000000e+00
    4.631813454036452e-01      0.000000000000000e+00
    4.640563454036452e-01      0.000000000000000e+00
    4.649313454036452e-01      0.000000000000000e+00
    4.658063454036452e-01      0.000000000000000e+00
    4.666813454036451e-01      0.000000000000000e+00
    4.675563454036452e-01      0.000000000000000e+00
    4.684313454036452e-01      0.000000000000000e+00
    4.693063454036452e-01      0.000000000000000e+00
    4.701813454036451e-01      0.000000000000000e+00
    4.710563454036452e-01      0.000000000000000e+00
    4.719313454036452e-01      0.000000000000000e+00
    4.728063454036452e-01      0.000000000000000e+00
    4.736813454036451e-01      0.000000000000000e+00
    4.745563454036452e-01      0.000000000000000e+00
    4.754313454036452e-01      0.000000000000000e+00
    4.763063454036451e-01      0.000000000000000e+00
    4.771813454036452e-01      0.000000000000000e+00
    4.780563454036452e-01      0.000000000000000e+00
    4.789313454036452e-01      0.000000000000000e+00
    4.798063454036452e-01      0.000000000000000e+00
    4.806813454036452e-01      0.000000000000000e+00
    4.815563454036452e-01      0.000000000000000e+00
    4.824313454036452e-01      0.000000000000000e+00
    4.833063454036451e-01      0.000000000000000e+00
    4.841813454036452e-01      0.000000000000000e+00
    4.850563454036452e-01      0.000000000000000e+00
    4.859313454036452e-01      0.000000000000000e+00
    4.868063454036452e-01      0.000000000000000e+00
    4.876813454036452e-01      0.000000000000000e+00
    4.885563454036452e-01      0.000000000000000e+00
    4.894313454036452e-01      0.000000000000000e+00
    4.903063454036451e-01      0.000000000000000e+00
    4.911813454036452e-01      0.000000000000000e+00
    4.920563454036452e-01      0.000000000000000e+00
    4.929313454036451e-01      0.000000000000000e+00
    4.938063454036452e-01      0.000000000000000e+00
    4.946813454036452e-01      0.000000000000000e+00
    4.955563454036452e-01      0.000000000000000e+00
    4.964313454036452e-01      0.000000000000000e+00
    4.973063454036452e-01      0.000000000000000e+00
    4.981813454036452e-01      0.000000000000000e+00
    4.990563454036452e-01      0.000000000000000e+00
    4.999313454036451e-01      0.000000000000000e+00
    5.008063454036452e-01      0.000000000000000e+00
    5.016813454036452e-01      0.000000000000000e+00
    5.025563454036451e-01      0.000000000000000e+00
    5.034313454036452e-01      0.000000000000000e+00
    5.043063454036452e-01      0.000000000000000e+00
    5.051813454036451e-01      0.000000000000000e+00
    5.060563454036452e-01      0.000000000000000e+00
    5.069313454036452e-01      0.000000000000000e+00
    5.078063454036452e-01      0.000000000000000e+00
    5.086813454036452e-01      0.000000000000000e+00
    5.095563454036451e-01      0.000000000000000e+00
    5.104313454036452e-01      0.000000000000000e+00
    5.113063454036452e-01      0.000000000000000e+00
    5.121813454036452e-01      0.000000000000000e+00
    5.130563454036452e-01      0.000000000000000e+00
    5.139313454036452e-01      0.000000000000000e+00
    5.148063454036452e-01      0.000000000000000e+00
    5.156813454036452e-01      0.000000000000000e+00
    5.165563454036451e-01      0.000000000000000e+00
    5.174313454036452e-01      0.000000000000000e+00
    5.183063454036452e-01      0.000000000000000e+00
    5.191813454036451e-01      0.000000000000000e+00
    5.200563454036452e-01      0.000000000000000e+00
    5.209313454036452e-01      0.000000000000000e+00
    5.218063454036452e-01      0.000000000000000e+00
    5.226813454036452e-01      0.000000000000000e+00
    5.235563454036452e-01      0.000000000000000e+00
    5.244313454036452e-01      0.000000000000000e+00
    5.253063454036452e-01      0.000000000000000e+00
    5.261813454036451e-01      0.000000000000000e+00
    5.270563454036452e-01      0.000000000000000e+00
    5.279313454036452e-01      3.874092009685411e+01
    5.288063454036451e-01      0.000000000000000e+00
    5.296813454036452e-01      0.000000000000000e+00
    5.305563454036452e-01      0.000000000000000e+00
    5.314313454036452e-01      0.000000000000000e+00
    5.323063454036452e-01      0.000000000000000e+00
    5.331813454036451e-01      0.000000000000000e+00
    5.340563454036452e-01      0.000000000000000e+00
    5.349313454036452e-01      0.000000000000000e+00
    5.358063454036452e-01      0.000000000000000e+00
    5.366813454036452e-01      0.000000000000000e+00
    5.375563454036452e-01      0.000000000000000e+00
    5.384313454036451e-01      0.000000000000000e+00
    5.393063454036452e-01      0.000000000000000e+00
    5.401813454036452e-01      0.000000000000000e+00
    5.410563454036452e-01      0.000000000000000e+00
    5.419313454036452e-01      0.000000000000000e+00
    5.428063454036451e-01      0.000000000000000e+00
    5.436813454036452e-01      0.000000000000000e+00
    5.445563454036452e-01      0.000000000000000e+00
    5.454313454036452e-01      0.000000000000000e+00
    5.463063454036452e-01      0.000000000000000e+00
    5.471813454036452e-01      0.000000000000000e+00
    5.480563454036452e-01      0.000000000000000e+00
    5.489313454036452e-01      0.000000000000000e+00
    5.498063454036451e-01      0.000000000000000e+00
    5.506813454036452e-01      0.000000000000000e+00
    5.515563454036452e-01      0.000000000000000e+00
    5.524313454036451e-01      0.000000000000000e+00
    5.533063454036452e-01      0.000000000000000e+00
    5.541813454036452e-01      0.000000000000000e+00
    5.550563454036452e-01      0.000000000000000e+00
    5.559313454036452e-01      0.000000000000000e+00
    5.568063454036452e-01      0.000000000000000e+00
    5.576813454036452e-01      0.000000000000000e+00
    5.585563454036452e-01      0.000000000000000e+00
    5.594313454036453e-01      0.000000000000000e+00
    5.603063454036452e-01      0.000000000000000e+00
    5.611813454036452e-01      0.000000000000000e+00
    5.620563454036451e-01      0.000000000000000e+00
    5.629313454036452e-01      0.000000000000000e+00
    5.638063454036452e-01      0.000000000000000e+00
    5.646813454036452e-01      0.000000000000000e+00
    5.655563454036452e-01      0.000000000000000e+00
    5.664313454036451e-01      0.000000000000000e+00
    5.673063454036452e-01      0.000000000000000e+00
    5.681813454036452e-01      0.000000000000000e+00
    5.690563454036452e-01      0.000000000000000e+00
    5.699313454036452e-01      0.000000000000000e+00
    5.708063454036452e-01      0.000000000000000e+00
    5.716813454036451e-01      0.000000000000000e+00
    5.725563454036452e-01      0.000000000000000e+00
    5.734313454036452e-01      0.000000000000000e+00
    5.743063454036452e-01      0.000000000000000e+00
    5.751813454036452e-01      0.000000000000000e+00
    5.760563454036451e-01      0.000000000000000e+00
    5.769313454036452e-01      0.000000000000000e+00
    5.778063454036452e-01      0.000000000000000e+00
    5.786813454036452e-01      0.000000000000000e+00
    5.795563454036452e-01      0.000000000000000e+00
    5.804313454036452e-01      0.000000000000000e+00
    5.813063454036452e-01      0.000000000000000e+00
    5.821813454036452e-01      0.000000000000000e+00
    5.830563454036453e-01      0.000000000000000e+00
    5.839313454036452e-01      0.000000000000000e+00
    5.848063454036452e-01      0.000000000000000e+00
    5.856813454036451e-01      0.000000000000000e+00
    5.865563454036452e-01      0.000000000000000e+00
    5.874313454036452e-01      0.000000000000000e+00
    5.883063454036452e-01      0.000000000000000e+00
    5.891813454036452e-01      0.000000000000000e+00
    5.900563454036452e-01      0.000000000000000e+00
    5.909313454036452e-01      0.000000000000000e+00
    5.918063454036452e-01      0.000000000000000e+00
    5.926813454036453e-01      0.000000000000000e+00
    5.935563454036452e-01      0.000000000000000e+00
    5.944313454036452e-01      0.000000000000000e+00
    5.953063454036451e-01      0.000000000000000e+00
    5.961813454036452e-01      0.000000000000000e+00
    5.970563454036452e-01      0.000000000000000e+00
    5.979313454036452e-01      0.000000000000000e+00
    5.988063454036452e-01      0.000000000000000e+00
    5.996813454036451e-01      0.000000000000000e+00
    6.005563454036452e-01      0.000000000000000e+00
    6.014313454036452e-01      0.000000000000000e+00
    6.023063454036452e-01      0.000000000000000e+00
    6.031813454036452e-01      0.000000000000000e+00
    6.040563454036452e-01      0.000000000000000e+00
    6.049313454036452e-01      0.000000000000000e+00
    6.058063454036452e-01      0.000000000000000e+00
    6.066813454036453e-01      0.000000000000000e+00
    6.075563454036452e-01      0.000000000000000e+00
    6.084313454036452e-01      0.000000000000000e+00
    6.093063454036451e-01      0.000000000000000e+00
    6.101813454036452e-01      0.000000000000000e+00
    6.110563454036452e-01      0.000000000000000e+00
    6.119313454036452e-01      0.000000000000000e+00
    6.128063454036452e-01      0.000000000000000e+00
    6.136813454036452e-01      0.000000000000000e+00
    6.145563454036452e-01      0.000000000000000e+00
    6.154313454036452e-01      0.000000000000000e+00
    6.163063454036453e-01      0.000000000000000e+00
    6.171813454036452e-01      0.000000000000000e+00
    6.180563454036452e-01      0.000000000000000e+00
    6.189313454036451e-01      0.000000000000000e+00
    6.198063454036452e-01      0.000000000000000e+00
    6.206813454036452e-01      0.000000000000000e+00
